ក	kɑɑ
ធ្មាំង	tmeaŋ
ធ្លាក់	tleak
ធ្លាប់	tloap
ធ្លាំង	tleaŋ
បង្កក់	ɓɑŋ\.kɑk
បង្កង់	ɓɑŋ\.kɑŋ
បង្កប់	ɓɑŋ\.kɑp
បង្ការ	ɓɑŋ\.kaa
បង្កិន	ɓɑŋ\.kən
បង្កិល	ɓɑŋ\.kəl
បង្កុង	ɓɑŋ\.koŋ
បង្កូក	ɓɑŋ\.kook
បង្កួយ	ɓɑŋ\.kuəj
បង្កើច	ɓɑŋ\.kaəc
បង្កើត	ɓɑŋ\.kaət
បង្កើន	ɓɑŋ\.kaən
បង្កើយ	ɓɑŋ\.kaəj
បង្កើល	ɓɑŋ\.kaəl
បង្កឿង	ɓɑŋ\.kɨəŋ
បង្កៀរ	ɓɑŋ\.kiə
បង្កេល	ɓɑŋ\.keel
បង្កែក	ɓɑŋ\.kaek
បង្កោង	ɓɑŋ\.kaoŋ
បង្ខាក	ɓɑŋ\.kʰaak
បង្ខាត	ɓɑŋ\.kʰaat
បង្ខាន	ɓɑŋ\.kʰaan
បង្ខាំ	ɓɑŋ\.kʰam
បង្ខិត	ɓɑŋ\.kʰət
បង្ខុស	ɓɑŋ\.kʰoh
បង្ខូង	ɓɑŋ\.kʰooŋ
បង្ខូច	ɓɑŋ\.kʰooc
បង្ខើច	ɓɑŋ\.kʰaəc
បង្គន់	ɓɑŋ\.kun
បង្គាន	ɓɑŋ\.kien
បង្គាវ	ɓɑŋ\.kiew
បង្គុយ	ɓɑŋ\.kuj
បង្គួរ	ɓɑŋ\.kuə
បង្គេច	ɓɑŋ\.keec
បង្គោល	ɓɑŋ\.kool
បង្គោះ	ɓɑŋ\.kuəh
បង្បោយ	ɓɑŋ\.ɓaoj
បង្រាស	ɓɑŋ\.raah
បង្រុះ	ɓɑŋ\.roh
បង្រួញ	ɓɑŋ\.ruəɲ
បង្រួប	ɓɑŋ\.ruəp
បង្រួម	ɓɑŋ\.ruəm
បង្រៀន	ɓɑŋ\.riən
បង្រោស	ɓɑŋ\.raoh
បង្វិល	ɓɑŋ\.wəl
បង្វឹក	ɓɑŋ\.wək
បង្វៀន	ɓɑŋ\.wiən
បង្វៀះ	ɓɑŋ\.wiəh
បង្វេច	ɓɑŋ\.weec
បង្វេះ	ɓɑŋ\.weh
បង្វែង	ɓɑŋ\.waeŋ
បង្វែរ	ɓɑŋ\.wae
បង្ហក់	ɓɑŋ\.hɑk
បង្ហត់	ɓɑŋ\.hɑt
បង្ហប់	ɓɑŋ\.hɑp
បង្ហល់	ɓɑŋ\.hɑl
បង្ហាញ	ɓɑŋ\.haaɲ
បង្ហិន	ɓɑŋ\.hən
បង្ហិល	ɓɑŋ\.həl
បង្ហុយ	ɓɑŋ\.hoj
បង្ហូត	ɓɑŋ\.hoot
បង្ហូរ	ɓɑŋ\.hoo
បង្ហួត	ɓɑŋ\.huət
បង្ហួរ	ɓɑŋ\.huə
បង្ហួល	ɓɑŋ\.huəl
បង្ហួស	ɓɑŋ\.huəh
បង្ហើប	ɓɑŋ\.haəp
បង្ហើម	ɓɑŋ\.haəm
បង្ហើយ	ɓɑŋ\.haəj
បង្ហើរ	ɓɑŋ\.haə
បង្ហៀរ	ɓɑŋ\.hiə
បង្ហេវ	ɓɑŋ\.heew
បង្ហែប	ɓɑŋ\.haep
បង្ហែល	ɓɑŋ\.hael
បង្ហោច	ɓɑŋ\.haoc
បង្ហោះ	ɓɑŋ\.hɑh
បង្អង់	ɓɑŋ\.ʔɑŋ
បង្អត់	ɓɑŋ\.ʔɑt
បង្អន់	ɓɑŋ\.ʔɑn
បង្អស់	ɓɑŋ\.ʔɑh
បង្អាច	ɓɑŋ\.ʔaac
បង្អុរ	ɓɑŋ\.ʔo
បង្អូន	ɓɑŋ\.ʔoon
បង្អូស	ɓɑŋ\.ʔooh
បង្អួច	ɓɑŋ\.ʔuəc
បង្អួត	ɓɑŋ\.ʔuət
បង្អួល	ɓɑŋ\.ʔuəl
បង្អើត	ɓɑŋ\.ʔaət
បង្អើល	ɓɑŋ\.ʔaəl
បង្អៀង	ɓɑŋ\.ʔiəŋ
បង្អៀន	ɓɑŋ\.ʔiən
បង្អៀវ	ɓɑŋ\.ʔiəw
បង្អែក	ɓɑŋ\.ʔaek
បង្អែន	ɓɑŋ\.ʔaen
បង្អែប	ɓɑŋ\.ʔaep
បង្អែម	ɓɑŋ\.ʔaem
បង្អោង	ɓɑŋ\.ʔaoŋ
បង្អោត	ɓɑŋ\.ʔaot
បង្អោន	ɓɑŋ\.ʔaon
បង្អោរ	ɓɑŋ\.ʔao
បញ្ចង់	ɓɑɲ\.cɑŋ
បញ្ចប់	ɓɑɲ\.cɑp
បញ្ចាំ	ɓɑɲ\.cam
បញ្ចុក	ɓɑɲ\.cok
បញ្ចុះ	ɓɑɲ\.coh
បញ្ចូល	ɓɑɲ\.cool
បញ្ចើច	ɓɑɲ\.caəc
បញ្ចៀស	ɓɑɲ\.ciəh
បញ្ចេញ	ɓɑɲ\.ceeɲ
បញ្ចេរ	ɓɑɲ\.cee
បញ្ចេះ	ɓɑɲ\.ceh
បញ្ចោរ	ɓɑɲ\.cao
បញ្ឆាក	ɓɑɲ\.cʰaak
បញ្ឆាប	ɓɑɲ\.cʰaap
បញ្ឆិច	ɓɑɲ\.cʰəc
បញ្ឆិត	ɓɑɲ\.cʰət
បញ្ឆឹក	ɓɑɲ\.cʰək
បញ្ឆុក	ɓɑɲ\.cʰok
បញ្ឆួល	ɓɑɲ\.cʰuəl
បញ្ឆើត	ɓɑɲ\.cʰaət
បញ្ឆៀង	ɓɑɲ\.cʰiəŋ
បញ្ឆេះ	ɓɑɲ\.cʰeh
បញ្ឆោត	ɓɑɲ\.cʰaot
បញ្ជក់	ɓɑɲ\.cuək
បញ្ជច់	ɓɑɲ\.cuc
បញ្ជល់	ɓɑɲ\.cul
បញ្ជិះ	ɓɑɲ\.cih
បញ្ជូន	ɓɑɲ\.cuun
បញ្ជើច	ɓɑɲ\.cəəc
បញ្ជោក	ɓɑɲ\.cook
បញ្ជោរ	ɓɑɲ\.coo
បញ្ជោះ	ɓɑɲ\.cuəh
បញ្ឈប់	ɓɑɲ\.cʰup
បញ្ឈែល	ɓɑɲ\.cʰɛɛl
បញ្ញែម	ɓɑɲ\.ɲaem
បណ្ដាញ	ɓɑn\.ɗaaɲ
បណ្ដាល	ɓɑn\.ɗaal
បណ្ដាំ	ɓɑn\.ɗam
បណ្ដិប	ɓɑn\.ɗəp
បណ្ដឹង	ɓɑn\.ɗəŋ
បណ្ដឹប	ɓɑn\.ɗəp
បណ្ដុន	ɓɑn\.ɗon
បណ្ដុំ	ɓɑn\.ɗom
បណ្ដុះ	ɓɑn\.ɗoh
បណ្ដូល	ɓɑn\.ɗool
បណ្ដើរ	ɓɑn\.ɗaə
បណ្ដេញ	ɓɑn\.ɗeeɲ
បណ្ដែត	ɓɑn\.ɗaet
បណ្ដោយ	ɓɑn\.ɗaoj
បណ្ដោះ	ɓɑn\.ɗɑh
បន្តក់	ɓɑn\.tɑk
បន្តិច	ɓɑn\.təc
បន្តឹង	ɓɑn\.təŋ
បន្តុប	ɓɑn\.top
បន្តុះ	ɓɑn\.toh
បន្តូច	ɓɑn\.tooc
បន្តួច	ɓɑn\.tuəc
បន្តើត	ɓɑn\.taət
បន្តោក	ɓɑn\.taok
បន្តោង	ɓɑn\.taoŋ
បន្ថុច	ɓɑn\.tʰoc
បន្ថើរ	ɓɑn\.tʰaə
បន្ថែម	ɓɑn\.tʰaem
បន្ថោក	ɓɑn\.tʰaok
បន្ទច់	ɓɑn\.tuc
បន្ទន់	ɓɑn\.tun
បន្ទប់	ɓɑn\.tup
បន្ទាប	ɓɑn\.tiep
បន្ទាយ	ɓɑn\.tiej
បន្ទារ	ɓɑn\.tie
បន្ទាល	ɓɑn\.tiel
បន្ទាស	ɓɑn\.tieh
បន្ទីង	ɓɑn\.tiiŋ
បន្ទុក	ɓɑn\.tuk
បន្ទុល	ɓɑn\.tul
បន្ទុំ	ɓɑn\.tum
បន្ទូល	ɓɑn\.tuul
បន្ទើង	ɓɑn\.təəŋ
បន្ទើត	ɓɑn\.təət
បន្ទើរ	ɓɑn\.təə
បន្ទេរ	ɓɑn\.tee
បន្ទោស	ɓɑn\.tooh
បន្ទោះ	ɓɑn\.tuəh
បន្ធូរ	ɓɑn\.tʰuu
បន្លប់	ɓɑn\.lɑp
បន្លាច	ɓɑn\.laac
បន្លាយ	ɓɑn\.laaj
បន្លិច	ɓɑn\.ləc
បន្លឹម	ɓɑn\.ləm
បន្លុក	ɓɑn\.lok
បន្លុង	ɓɑn\.loŋ
បន្លុយ	ɓɑn\.loj
បន្លួញ	ɓɑn\.luəɲ
បន្លៀក	ɓɑn\.liək
បន្លៀន	ɓɑn\.liən
បន្លែង	ɓɑn\.laeŋ
បន្លោះ	ɓɑn\.lɑh
បន្សល់	ɓɑn\.sɑl
បន្សាប	ɓɑn\.saap
បន្សារ	ɓɑn\.saa
បន្សាំ	ɓɑn\.sam
បន្សើច	ɓɑn\.saəc
បន្សើម	ɓɑn\.saəm
បន្សោះ	ɓɑn\.sɑh
បន្ស៊ី	ɓɑn\.sii
បម្រាប	ɓɑm\.raap
បម្រាម	ɓɑm\.raam
បម្រាស	ɓɑm\.raah
បម្រឹង	ɓɑm\.rəŋ
បម្រុង	ɓɑm\.roŋ
បម្រោស	ɓɑm\.raoh
បំណាក់	ɓɑm\.nak
បំណាច់	ɓɑm\.nac
បំណាត់	ɓɑm\.nat
បំបាក់	ɓɑm\.ɓak
បំបាត់	ɓɑm\.ɓat
បំបាំង	ɓɑm\.ɓaŋ
បំប៉ឹម	ɓɑm\.pəm
បំប៉ោង	ɓɑm\.paoŋ
បំពាក់	ɓɑm\.peak
បំពាំង	ɓɑm\.peaŋ
បំព្រង	ɓɑm\.prɔɔŋ
បំព្រៃ	ɓɑm\.prej
បំព្រំ	ɓɑm\.prum
បំភាន់	ɓɑm\.pʰoan
បំភ្លឺ	ɓɑm\.plɨɨ
បំភ្លៃ	ɓɑm\.plej
ប៉ប៉ប់	pɑ\.pɑp
ប៉ប៉ិច	pɑ\.pəc
ប៉ប៉ិល	pɑ\.pəl
ប៉ប៉ុក	pɑ\.pok
ប៉ប៉ុប	pɑ\.pop
ប៉ប៉ែះ	pɑ\.paeh
ប៉ប៉ោច	pɑ\.paoc
ប៉ប្រក	pɑ\.prɑɑk
ប៉ប្រង	pɑ\.prɑɑŋ
ប៉ប្រច	pɑ\.prɑɑc
ប៉ប្រស	pɑ\.prɑɑh
ប៉ប្រៃ	pɑ\.praj
ប៉ប្រះ	pɑ\.prah
ប៉ផាប់	pɑ\.pʰap
ប្រកល់	prɑ\.kɑl
ប្រការ	prɑ\.kaa
ប្រកាំ	prɑ\.kam
ប្រកិត	prɑ\.kət
ប្រកឹង	prɑ\.kəŋ
ប្រកុន	prɑ\.kon
ប្រកុំ	prɑ\.kom
ប្រកួត	prɑ\.kuət
ប្រកើយ	prɑ\.kaəj
ប្រកៀក	prɑ\.kiək
ប្រកៀង	prɑ\.kiəŋ
ប្រកែក	prɑ\.kaek
ប្រកោះ	prɑ\.kɑh
ប្រខាំ	prɑ\.kʰam
ប្រខុប	prɑ\.kʰop
ប្រគល់	prɑ\.kul
ប្រគាប	prɑ\.kiep
ប្រគេន	prɑ\.keen
ប្រចាំ	prɑ\.cam
ប្រចឹក	prɑ\.cək
ប្រចុប	prɑ\.cop
ប្រចួន	prɑ\.cuən
ប្រចួប	prɑ\.cuəp
ប្រចៀច	prɑ\.ciəc
ប្រចៀវ	prɑ\.ciəw
ប្រចែង	prɑ\.caeŋ
ប្រចោម	prɑ\.caom
ប្រឆេះ	prɑ\.cʰeh
ប្រជុំ	prɑ\.cum
ប្រជួន	prɑ\.cuən
ប្រជួប	prɑ\.cuəp
ប្រជួស	prɑ\.cuəh
ប្រជៀច	prɑ\.ciəc
ប្រជៀវ	prɑ\.ciəw
ប្រជែង	prɑ\.cɛɛŋ
ប្រឈួន	prɑ\.cʰuən
ប្រញាយ	prɑ\.ɲaaj
ប្រញិប	prɑ\.ɲəp
ប្រញឹក	prɑ\.ɲək
ប្រដក់	prɑ\.ɗɑk
ប្រដាញ	prɑ\.ɗaaɲ
ប្រដិត	prɑ\.ɗət
ប្រដឹស	prɑ\.ɗəh
ប្រដឺត	prɑ\.ɗəət
ប្រដូច	prɑ\.ɗooc
ប្រដើស	prɑ\.ɗaəh
ប្រដេញ	prɑ\.ɗeeɲ
ប្រដោត	prɑ\.ɗaot
ប្រដោល	prɑ\.ɗaol
ប្រណាក	prɑ\.naak
ប្រណិត	prɑ\.nət
ប្រតប់	prɑ\.tɑp
ប្រតាក	prɑ\.taak
ប្រតាយ	prɑ\.taaj
ប្រតេក	prɑ\.teek
ប្រតែង	prɑ\.taeŋ
ប្រតោក	prɑ\.taok
ប្រតោង	prɑ\.taoŋ
ប្រថាន	prɑ\.tʰaan
ប្រថុច	prɑ\.tʰoc
ប្រថុយ	prɑ\.tʰoj
ប្រថួន	prɑ\.tʰuən
ប្រទង់	prɑ\.tuŋ
ប្រទល់	prɑ\.tul
ប្រទាញ	prɑ\.tieɲ
ប្រទាល	prɑ\.tiel
ប្រទាស	prɑ\.tieh
ប្រទើស	prɑ\.təəh
ប្រទេច	prɑ\.teec
ប្រទេស	prɑ\.teeh
ប្រធួន	prɑ\.tʰuən
ប្រនៀល	prɑ\.niəl
ប្របិច	prɑ\.ɓəc
ប្របៀត	prɑ\.ɓiət
ប្របេរ	prɑ\.ɓee
ប្របេះ	prɑ\.ɓeh
ប្របែក	prɑ\.ɓaek
ប្របែល	prɑ\.ɓael
ប្របោច	prɑ\.ɓaoc
ប្រផង់	prɑ\.pʰɑŋ
ប្រផុត	prɑ\.pʰot
ប្រផូរ	prɑ\.pʰoo
ប្រផេញ	prɑ\.pʰeeɲ
ប្រផេះ	prɑ\.pʰeh
ប្រពាន	prɑ\.pien
ប្រពាយ	prɑ\.piej
ប្រពាស	prɑ\.pieh
ប្រពូន	prɑ\.puun
ប្រភើច	prɑ\.pʰəəc
ប្រមង់	prɑ\.mɑŋ
ប្រមល់	prɑ\.mɑl
ប្រមឹក	prɑ\.mək
ប្រមុច	prɑ\.moc
ប្រមុញ	prɑ\.moɲ
ប្រមុម	prɑ\.mom
ប្រមុំ	prɑ\.mom
ប្រមូរ	prɑ\.moo
ប្រមូល	prɑ\.mool
ប្រមើល	prɑ\.maəl
ប្រមៀល	prɑ\.miəl
ប្រមោក	prɑ\.maok
ប្រមោយ	prɑ\.maoj
ប្រយែង	prɑ\.jaeŋ
ប្រយោល	prɑ\.jaol
ប្រលង់	prɑ\.lɑŋ
ប្រលូក	prɑ\.look
ប្រលូញ	prɑ\.looɲ
ប្រលូស	prɑ\.looh
ប្រលេះ	prɑ\.leh
ប្រលែង	prɑ\.laeŋ
ប្រលោះ	prɑ\.lɑh
ប្រវាយ	prɑ\.waaj
ប្រវាល	prɑ\.waal
ប្រវឹក	prɑ\.wək
ប្រវែង	prɑ\.waeŋ
ប្រសប់	prɑ\.sɑp
ប្រសាច	prɑ\.saac
ប្រសេច	prɑ\.seec
ប្រហប់	prɑ\.hɑp
ប្រហាត	prɑ\.haat
ប្រហិត	prɑ\.hət
ប្រហុក	prɑ\.hok
ប្រហួរ	prɑ\.huə
ប្រហើរ	prɑ\.haə
ប្រហេត	prɑ\.heet
ប្រហែក	prɑ\.haek
ប្រហែង	prɑ\.haeŋ
ប្រហែស	prɑ\.haeh
ប្រហោង	prɑ\.haoŋ
ប្រឡង់	prɑ\.lɑŋ
ប្រឡាយ	prɑ\.laaj
ប្រឡូក	prɑ\.look
ប្រឡូញ	prɑ\.looɲ
ប្រឡូស	prɑ\.looh
ប្រឡេះ	prɑ\.leh
ប្រឡែង	prɑ\.laeŋ
ប្រឡោះ	prɑ\.lɑh
ប្រអប់	prɑ\.ʔɑp
ប្រអូង	prɑ\.ʔooŋ
ប្រអូស	prɑ\.ʔooh
ប្រអួល	prɑ\.ʔuəl
ប្រាក់	prak
ប្រាច់	prac
ប្រាត់	prat
ប្រាប់	prap
ប្រាស់	prah
ប្រាំង	praŋ
ប្លាច់	plac
ប្លាប់	plap
ប្អ៊ឹះ	pʔɨh
ផល្គុន	pʰɑ\.lkun
ផ្កាប់	pkap
ផ្គាក់	pkeak
ផ្គាប់	pkoap
ផ្ចាច់	pcac
ផ្ចាញ់	pcaɲ
ផ្ចាប់	pcap
ផ្ញាច់	pɲac
ផ្ដាច់	pɗac
ផ្ទាត់	ptoat
ផ្ទាន់	ptoan
ផ្ទាប់	ptoap
ផ្ទាល់	ptoal
ផ្ទាំង	pteaŋ
ផ្លាប់	plap
ផ្លាស់	plah
ផ្សាំង	psaŋ
ផ្ស៊ាំ	psoam
ផ្អាប់	pʔap
ពង្រត់	puŋ\.rut
ពង្រាក	puŋ\.riek
ពង្រាង	puŋ\.rieŋ
ពង្រាប	puŋ\.riep
ពង្រាយ	puŋ\.riej
ពង្រាល	puŋ\.riel
ពង្រីក	puŋ\.riik
ពង្រីង	puŋ\.riiŋ
ពង្រឹង	puŋ\.rɨŋ
ពង្រឹត	puŋ\.rɨt
ពង្រឹល	puŋ\.rɨl
ពង្រុល	puŋ\.rul
ពង្រូង	puŋ\.ruuŋ
ពង្រូល	puŋ\.ruul
ពង្រួប	puŋ\.ruəp
ពង្រួម	puŋ\.ruəm
ពង្រេច	puŋ\.reec
ពង្រោះ	puŋ\.ruəh
ពង្វក់	puŋ\.wuək
ពង្វាង	puŋ\.wieŋ
ពង្វាត	puŋ\.wiet
ពង្វិល	puŋ\.wɨl
ពង្វឹក	puŋ\.wɨk
ពង្វៀន	puŋ\.wiən
ពង្វៀះ	puŋ\.wiəh
ពង្វេះ	puŋ\.weh
ពន្យល់	pun\.jul
ពន្យារ	pun\.jie
ពន្យឺត	pun\.jɨɨt
ពន្យឺន	pun\.jɨɨn
ពន្យុយ	pun\.juj
ពន្យុល	pun\.jul
ពន្យុះ	pun\.juh
ពន្យូយ	pun\.juuj
ពន្យោល	pun\.jool
ពន្រាយ	pun\.riej
ពន្លង់	pun\.luŋ
ពន្លត់	pun\.lut
ពន្លាក	pun\.liek
ពន្លាញ	pun\.lieɲ
ពន្លិច	pun\.lɨc
ពន្លឹក	pun\.lɨk
ពន្លឹប	pun\.lɨp
ពន្លុង	pun\.luŋ
ពន្លុត	pun\.lut
ពន្លុន	pun\.lun
ពន្លូក	pun\.luuk
ពន្លូច	pun\.luuc
ពន្លូត	pun\.luut
ពន្លូន	pun\.luun
ពន្លួញ	pun\.luəɲ
ពន្លើស	pun\.ləəh
ពន្លឿន	pun\.lɨən
ពន្លៀក	pun\.liək
ពន្លៀន	pun\.liən
ពន្លែង	pun\.lɛɛŋ
ពន្លោត	pun\.loot
ពព្រាត	pɔ\.priet
ពព្រាយ	pɔ\.priej
ពព្រិច	pɔ\.prɨc
ពព្រឹម	pɔ\.prɨm
ពព្រឹល	pɔ\.prɨl
ពព្រឺស	pɔ\.prɨɨh
ពព្រុស	pɔ\.pruh
ពព្រូស	pɔ\.pruuh
ពព្រួក	pɔ\.pruək
ពព្រួច	pɔ\.pruəc
ពព្រើត	pɔ\.prəət
ពព្រើម	pɔ\.prəəm
ពព្រើស	pɔ\.prəəh
ពព្រៀក	pɔ\.priək
ពព្រៀប	pɔ\.priəp
ពព្លែម	pɔ\.plɛɛm
ពភ្លក់	pɔ\.pluək
ពភ្លាម	pɔ\.pliem
ពភ្លឹម	pɔ\.plɨm
ពភ្លឹះ	pɔ\.plɨh
ពភ្លុក	pɔ\.pluk
ពភ្លុង	pɔ\.pluŋ
ពភ្លួក	pɔ\.pluək
ពភ្លើក	pɔ\.pləək
ពភ្លៀក	pɔ\.pliək
ពភ្លែត	pɔ\.plɛɛt
ពភ្លែល	pɔ\.plɛɛl
ពភ្លែះ	pɔ\.plɛh
ពំនាក់	pum\.neak
ព្រងើយ	prɔ\.ŋəəj
ព្រញូញ	prɔ\.ɲuuɲ
ព្រនង់	prɔ\.nuŋ
ព្រនួត	prɔ\.nuət
ព្រមត់	prɔ\.mut
ព្រមាន	prɔ\.mien
ព្រមឹក	prɔ\.mɨk
ព្រយឺត	prɔ\.jɨɨt
ព្រយុង	prɔ\.juŋ
ព្រយោង	prɔ\.jooŋ
ព្ររឹត	prɔ\.rɨt
ព្ររួត	prɔ\.ruət
ព្រលប់	prɔ\.lup
ព្រលាំ	prɔ\.loam
ព្រលិង	prɔ\.lɨŋ
ព្រលិត	prɔ\.lɨt
ព្រលីត	prɔ\.liit
ព្រលីស	prɔ\.liih
ព្រលឹង	prɔ\.lɨŋ
ព្រលឹត	prɔ\.lɨt
ព្រលឹម	prɔ\.lɨm
ព្រលូង	prɔ\.luuŋ
ព្រលូញ	prɔ\.luuɲ
ព្រលូស	prɔ\.luuh
ព្រលែត	prɔ\.lɛɛt
ព្រវារ	prɔ\.wie
ព្រវឹង	prɔ\.wɨŋ
ព្រវែក	prɔ\.wɛɛk
ព្រហក់	prɔ\.hɑk
ព្រហាម	prɔ\.haam
ព្រហីត	prɔ\.həjt
ព្រហូត	prɔ\.hoot
ព្រហួញ	prɔ\.huəɲ
ព្រហួម	prɔ\.huəm
ព្រហើន	prɔ\.haən
ព្រហែត	prɔ\.haet
ព្រអូញ	prɔ\.ʔooɲ
ព្រាត់	proat
ភ្ជាប់	pcoap
ភ្ញាក់	pɲeak
ភ្ញាស់	pɲoah
ភ្នាល់	pnoal
ភ្លាត់	ploat
ភ្លាំង	pleaŋ
មង្ឃុត	muŋ\.kʰut
មន្ទិល	mun\.tɨl
មន្ទីរ	mun\.tii
ម្កាក់	mkak
ម្ចាក់	mcak
ម្ចាស់	mcah
ម្នាស់	mnoah
ម្យ៉ាង	mjaaŋ
ម្រាក់	mreak
ម្លាន់	mloan
ម្ល៉ឹង	mləŋ
ម្ល៉េះ	mleh
ម្សាញ់	msaɲ
ម្ហ៊ិះ	mhih
ម្ហ៊ែត	mhɛɛt
រង្កៀក	ruŋ\.kiək
រង្កៀស	ruŋ\.kiəh
រង្គាល	ruŋ\.kiel
រង្គើក	ruŋ\.kəək
រង្គោះ	ruŋ\.kuəh
រង្វង់	ruŋ\.wuŋ
រង្វឹង	ruŋ\.wɨŋ
រង្វើល	ruŋ\.wəəl
រង្វេល	ruŋ\.weel
រញ៉ាល់	rɔ\.ɲal
រញ្ជួយ	ruɲ\.cuəj
រណ្ដាស	run\.ɗaah
រន្ទាល	run\.tiel
រន្ទេប	run\.teep
រន្ធត់	run\.tʰut
រម្ងាច	rum\.ŋiec
រម្ងើក	rum\.ŋəək
រម្តោះ	rum\.tɑh
រម្លត់	rum\.lut
រម្លប់	rum\.lup
រម្លស់	rum\.luəh
រម្លាក	rum\.liek
រម្លាយ	rum\.liej
រម្លីង	rum\.liiŋ
រម្លឹក	rum\.lɨk
រម្លុប	rum\.lup
រម្លុះ	rum\.luh
រម្លូត	rum\.luut
រម្លើង	rum\.ləəŋ
រម្លោក	rum\.look
រម្សាយ	rum\.saaj
រម្ហាច	rum\.haac
រម្ហូត	rum\.hoot
រម្ហើយ	rum\.haəj
រម្អិល	rum\.ʔəl
រម្អែង	rum\.ʔaeŋ
រវ៉ាច់	rɔ\.wac
រំកាច់	rum\.kac
រំងាប់	rum\.ŋoap
រំងាស់	rum\.ŋoah
រំប៉ើក	rum\.paək
រំពាត់	rum\.poat
រំពាស់	rum\.poah
លង្វែក	luŋ\.wɛɛk
លង្ហិន	luŋ\.hən
លន្លង់	lun\.luŋ
លន្លាម	lun\.liem
លន្លឹម	lun\.lɨm
លន្លោច	lun\.looc
លម្ហាច	lum\.haac
លម្ហើយ	lum\.haəj
លម្អក់	lum\.ʔɑk
លម្អន់	lum\.ʔɑn
លម្អាន	lum\.ʔaan
លម្អិត	lum\.ʔət
លម្អៀង	lum\.ʔiəŋ
លំដាប់	lum\.ɗap
លំពាន់	lum\.poan
លំពាស់	lum\.poah
លំពាំង	lum\.peaŋ
ល្ងាន់	lŋoan
ល្បាក់	lɓak
ល្បាប់	lɓap
ល្បាស់	lɓah
ល្មាក់	lmeak
ល្មាំង	lmeaŋ
ល្អាច់	lʔac
វង្វេង	wuŋ\.weeŋ
វរ្មិត	wɔ\.rmɨt
សង្កល់	sɑŋ\.kɑl
សង្កិន	sɑŋ\.kən
សង្កិម	sɑŋ\.kəm
សង្កឹម	sɑŋ\.kəm
សង្កួត	sɑŋ\.kuət
សង្កើច	sɑŋ\.kaəc
សង្កៀត	sɑŋ\.kiət
សង្កៀរ	sɑŋ\.kiə
សង្ខុញ	sɑŋ\.kʰoɲ
សង្ឃឹក	sɑŋ\.kʰɨk
សង្ឃឹម	sɑŋ\.kʰɨm
សង្រេង	sɑŋ\.reeŋ
សង្រែក	sɑŋ\.raek
សង្វាត	sɑŋ\.waat
សង្វារ	sɑŋ\.waa
សង្វិត	sɑŋ\.wət
សង្វិល	sɑŋ\.wəl
សង្វៀន	sɑŋ\.wiən
សង្វែង	sɑŋ\.waeŋ
សង្វោយ	sɑŋ\.waoj
សង្អន់	sɑŋ\.ʔɑn
សង្អារ	sɑŋ\.ʔaa
សញ្ជប់	sɑɲ\.cup
សញ្ជឹង	sɑɲ\.cɨŋ
សញ្ជែក	sɑɲ\.cɛɛk
សណ្ដង់	sɑn\.ɗɑŋ
សណ្ដាយ	sɑn\.ɗaaj
សណ្ដូក	sɑn\.ɗook
សណ្ដូន	sɑn\.ɗoon
សណ្ដែក	sɑn\.ɗaek
សណ្ដោង	sɑn\.ɗaoŋ
សត្រូវ	sɑ\.troow
សន្ទង់	sɑn\.tuŋ
សន្ទុះ	sɑn\.tuh
សន្ទូង	sɑn\.tuuŋ
សន្ទូច	sɑn\.tuuc
សន្ទេះ	sɑn\.teh
សន្ធប់	sɑn\.tʰup
សន្ធឹក	sɑn\.tʰɨk
សន្ធឹង	sɑn\.tʰɨŋ
សន្លង់	sɑn\.lɑŋ
សន្លប់	sɑn\.lɑp
សន្លាង	sɑn\.laaŋ
សន្លិន	sɑn\.lən
សន្លឹក	sɑn\.lək
សន្លឹង	sɑn\.ləŋ
សន្លឹម	sɑn\.ləm
សន្លុង	sɑn\.loŋ
សន្សឹម	sɑn\.səm
សន្សើម	sɑn\.saəm
សម្កាក	sɑm\.kaak
សម្កុង	sɑm\.koŋ
សម្កុល	sɑm\.kol
សម្កូញ	sɑm\.kooɲ
សម្កូវ	sɑm\.koow
សម្គុល	sɑm\.kul
សម្គោក	sɑm\.kook
សម្ងាច	sɑm\.ŋaac
សម្ងើច	sɑm\.ŋaəc
សម្ញាញ	sɑm\.ɲaaɲ
សម្ញេញ	sɑm\.ɲeeɲ
សម្ញែង	sɑm\.ɲaeŋ
សម្ដឹង	sɑm\.ɗəŋ
សម្ដឺត	sɑm\.ɗəət
សម្ដើង	sɑm\.ɗaəŋ
សម្ដេច	sɑm\.ɗeec
សម្ដេជ	sɑm\.ɗeec
សម្ដែង	sɑm\.ɗaeŋ
សម្ដោះ	sɑm\.ɗɑh
សម្តុល	sɑm\.tol
សម្តោក	sɑm\.taok
សម្ទក់	sɑm\.tuək
សម្ទង់	sɑm\.tuŋ
សម្ទាញ	sɑm\.tieɲ
សម្ទារ	sɑm\.tie
សម្ទីក	sɑm\.tiik
សម្ទុះ	sɑm\.tuh
សម្ទូង	sɑm\.tuuŋ
សម្ទើញ	sɑm\.təəɲ
សម្ទេះ	sɑm\.teh
សម្ទែល	sɑm\.tɛɛl
សម្នាម	sɑm\.naam
សម្បារ	sɑm\.ɓaa
សម្បុក	sɑm\.ɓok
សម្បុដ	sɑm\.ɓot
សម្បុរ	sɑm\.ɓo
សម្បួរ	sɑm\.ɓuə
